album_type,album_name,release_date,total_tracks,artist_names,track_name,duration_ms,popularity
compilation,A.R. Rahman All Time Favourites,2022-06-16,16,"A.R. Rahman, Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",5min 41sec,54
single,"Rait Zara Si (From ""Atrangi Re"")",2021-12-06,1,"A.R. Rahman, Arijit Singh, Shashaa Tirupati","Rait Zara Si (From ""Atrangi Re"")",4min 51sec,77
album,OK Jaanu (Original Motion Picture Soundtrack),2017-01-04,8,"A.R. Rahman, Arijit Singh",Enna Sona,3min 33sec,75
compilation,A.R. Rahman All Time Favourites,2022-06-16,16,"A.R. Rahman, Rashid Ali","Kabhi Kabhi Aditi (From ""Jaane Tu... Ya Jaane Na"")",3min 38sec,51
album,Jodhaa Akbar (Original Motion Picture Soundtrack),2007-12-31,7,"A.R. Rahman, Javed Ali",Jashn-E-Bahaaraa,5min 15sec,72
album,Mimi (Original Motion Picture Soundtrack),2021-07-16,7,"A.R. Rahman, Shreya Ghoshal",Param Sundari,3min 20sec,71
album,Guru (Original Motion Picture Soundtrack),2006-09-11,7,"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",Tere Bina,5min 9sec,71
album,Rockstar,2011-10-01,15,"A.R. Rahman, Javed Ali, Mohit Chauhan",Kun Faya Kun,7min 50sec,71
album,I (Original Motion Picture Soundtrack),2014-09-18,7,"A.R. Rahman, Sid Sriram, Sunitha Sarathy",Ennodu Nee Irundhaal,5min 52sec,71
album,Raanjhanaa (Original Motion Picture Soundtrack),2013-05-31,9,"A.R. Rahman, Jaswinder Singh, Shiraz Uppal",Raanjhanaa,4min 14sec,70
